Data	VVT	DIR	MedX	MedY
41016.42361	6.34	299.5	5.518055112	-3.121965371
41016.43056	6.71	305.8	5.442238225	-3.925065999
41016.4375	7.01	314.19	5.026396248	-4.886250174
41016.44444	7.23	301.6	6.157985734	-3.7884181
41016.45139	7.08	307.6	5.609410675	-4.31982776
41016.45833	8.5	299.5	7.398023415	-4.185600261
41016.46528	7.08	304.1	5.862667169	-3.969324082
41016.47222	5.67	317.3	3.845165328	-4.166965755
41016.47917	6.63	312.8	4.864629002	-4.504695847
41016.48611	6.34	300.19	5.480058772	-3.18819006
41016.49306	6.41	270.89	6.409226689	-0.099565284
41016.5	6.04	315.6	4.225966577	-4.315414985
41016.50694	4.7	288.69	4.452151238	-1.506104032
41016.51389	6.26	301.6	5.331810608	-3.280151771
41016.52083	5.89	308.6	4.603155583	-3.674650825
41016.52778	6.19	281	6.076272266	-1.181107681
41016.53472	7.08	291.5	6.587356381	-2.594828685
41016.54167	5.59	255.19	5.404293437	1.428885036
41016.54861	3.87	262.19	3.834102416	0.52588845
41016.55556	4.7	269.5	4.699821038	0.041014717
41016.5625	3.5	180.19	0.011606418	3.499980756
41016.56944	4.47	156.09	-1.811696132	4.086399042
41016.57639	7.08	166.19	-1.690016878	6.875335843
41016.58333	7.38	162	-2.280545418	7.01879709
41016.59028	6.63	183.3	0.381649499	6.619006244
41016.59722	7.68	168.3	-1.557406428	7.520431186
41016.60417	8.21	165.9	-2.000079247	7.962649245
41016.61111	8.21	173.19	-0.9735194	8.152077035
41016.61806	7.98	178.8	-0.167120511	7.978249854
41016.625	8.73	185.8	0.882221474	8.685308588
41016.63194	9.4	174.59	-0.88625146	9.35812793
41016.63889	8.58	180.19	0.028452305	8.579952824
41016.64583	8.58	184.4	0.658249261	8.554712614
41016.65278	8.42	192.09	1.763551355	8.233242777
41016.65972	7.68	182.3	0.308212167	7.673812954
41016.66667	7.08	164.5	-1.892047703	6.822503609
41016.67361	7.98	175.69	-0.599719083	7.957432816
41016.68056	8.27	172.9	-1.022184213	8.206585126
41016.6875	7.68	192.8	1.701492462	7.489147041
41016.69444	8.42	170.4	-1.404192847	8.302086632
41016.70139	8.35	173.9	-0.887304996	8.302721834
41016.70833	7.98	166.19	-1.904849532	7.749319213
41016.71528	7.9	194.09	1.923221294	7.662324703
41016.72222	7.98	179.8	-0.027855398	7.979951383
41016.72917	8.21	190.69	1.522914888	8.067516981
41016.73611	7.53	187.19	0.942455365	7.470788304
41016.74306	9.02	187.5	1.177346254	8.94283265
41016.75	9.55	184.69	0.780851561	9.518023473
41016.75694	9.17	190	1.592353789	9.030687095
41016.76389	8.13	191.69	1.647271215	7.961369075
41016.77083	7.68	185.09	0.681373083	7.649714421
41016.77778	8.21	192.4	1.762977036	8.018479405
41016.78472	7.68	201.8	2.852104977	7.13077115
41016.79167	7.75	202.19	2.927013693	7.176008002
41016.79861	6.71	228.69	5.040209321	4.429490942
41016.80556	4.32	227.69	3.194698842	2.907971683
41016.8125	4.02	226.59	2.920348057	2.762601532
41016.81944	2.83	208.09	1.332527896	2.496651639
41016.82639	2.68	202.9	1.042852186	2.468776887
41016.83333	2.38	199.4	0.790543494	2.244869926
